match_id,innings_number,powerplay_type,from_over,to_over
1120094,2,mandatory,0.1,5.6
1120095,1,mandatory,0.1,1.6
1120095,2,mandatory,0.1,1.6
1120291,1,mandatory,0.1,5.6
1120291,2,mandatory,0.1,5.6
1120292,1,mandatory,0.1,5.6
1120292,2,mandatory,0.1,5.7
1120293,1,mandatory,0.1,5.7
1120293,2,mandatory,0.1,5.6
1122285,1,mandatory,0.1,5.7
1122285,2,mandatory,0.1,5.6
1122286,1,mandatory,0.1,5.6
1122286,2,mandatory,0.1,5.6
1122287,1,mandatory,0.1,5.6
1122287,2,mandatory,0.1,5.6
1122729,1,mandatory,0.1,5.7
1122729,2,mandatory,0.1,5.6
1122730,1,mandatory,0.1,5.6
1122730,2,mandatory,0.1,5.6
1122731,1,mandatory,0.1,5.7
1122731,2,mandatory,0.1,5.6
1127300,1,mandatory,0.1,5.7
1127300,2,mandatory,0.1,5.6
1127301,1,mandatory,0.1,5.7
1127301,2,mandatory,0.1,5.7
1130746,1,mandatory,0.1,5.6
1130746,2,mandatory,0.1,5.6
1130747,1,mandatory,0.1,5.6
1130747,2,mandatory,0.1,5.6
1133817,1,mandatory,0.1,5.6
1133817,2,mandatory,0.1,5.6
1133818,1,mandatory,0.1,5.6
1133818,2,mandatory,0.1,5.6
1133819,1,mandatory,0.1,5.6
1133819,2,mandatory,0.1,5.6
1133820,1,mandatory,0.1,5.6
1133820,2,mandatory,0.1,5.7
1133821,1,mandatory,0.1,5.6
1133821,2,mandatory,0.1,5.6
1133822,1,mandatory,0.1,5.8
1133822,2,mandatory,0.1,5.6
1133823,1,mandatory,0.1,5.7
1133823,2,mandatory,0.1,5.6
1140069,1,mandatory,0.1,5.6
1140069,2,mandatory,0.1,5.6
1140070,1,mandatory,0.1,5.6
1140070,2,mandatory,0.1,5.6
1140071,1,mandatory,0.1,5.6
1140071,2,mandatory,0.1,5.6
1140384,1,mandatory,0.1,5.6
1140384,2,mandatory,0.1,5.6
1140992,1,mandatory,0.1,5.6
1140992,2,mandatory,0.1,5.6
1140993,1,mandatory,0.1,5.6
1140993,2,mandatory,0.1,5.6
1141232,1,mandatory,0.1,5.6
1141232,2,mandatory,0.1,5.8
1141835,1,mandatory,0.1,5.6
1142501,1,mandatory,0.1,5.7
1142501,2,mandatory,0.1,5.7
1142502,1,mandatory,0.1,5.6
1142502,2,mandatory,0.1,5.6
1142503,1,mandatory,0.1,5.6
1142503,2,mandatory,0.1,5.6
1142504,1,mandatory,0.1,5.6
1142504,2,mandatory,0.1,5.7
1142505,1,mandatory,0.1,5.6
1142505,2,mandatory,0.1,5.6
1142506,1,mandatory,0.1,5.6
1142506,2,mandatory,0.1,5.7
1142589,1,mandatory,0.1,5.6
1142589,2,mandatory,0.1,5.7
1142913,1,mandatory,0.1,5.6
1142913,2,mandatory,0.1,5.6
1142914,1,mandatory,0.1,5.6
1142914,2,mandatory,0.1,5.6
1142915,1,mandatory,0.1,5.6
1142915,2,mandatory,0.1,5.6
1142916,1,mandatory,0.1,5.6
1142916,2,mandatory,0.1,5.6
1142917,1,mandatory,0.1,5.6
1142917,2,mandatory,0.1,5.6
1142918,1,mandatory,0.1,5.6
1142918,2,mandatory,0.1,5.6
1142919,1,mandatory,0.1,5.6
1142919,2,mandatory,0.1,5.6
1144149,1,mandatory,0.1,5.6
1144149,2,mandatory,0.1,5.6
1144150,1,mandatory,0.1,5.6
1144150,2,mandatory,0.1,5.6
1144161,1,mandatory,0.1,5.6
1144161,2,mandatory,0.1,5.9
1144162,1,mandatory,0.1,5.6
1144162,2,mandatory,0.1,5.6
1144163,1,mandatory,0.1,5.6
1144163,2,mandatory,0.1,5.6
1144172,1,mandatory,0.1,5.6
1144172,2,mandatory,0.1,5.6
1144173,1,mandatory,0.1,5.6
1144173,2,mandatory,0.1,5.6
1144174,1,mandatory,0.1,5.6
1144174,2,mandatory,0.1,5.8
1144989,1,mandatory,0.1,2.6
1144989,2,mandatory,0.1,2.6
1144990,1,mandatory,0.1,5.6
1144990,2,mandatory,0.1,4.6
1144991,1,mandatory,0.1,5.7
1144992,1,mandatory,0.1,5.6
1144992,2,mandatory,0.1,5.6
1146723,1,mandatory,0.1,5.6
1146723,2,mandatory,0.1,2.7
1146724,1,mandatory,0.1,5.6
1146724,2,mandatory,0.1,5.6
1146725,1,mandatory,0.1,5.6
1146725,2,mandatory,0.1,5.6
1152840,1,mandatory,0.1,5.6
1152840,2,mandatory,0.1,5.6
1153317,1,mandatory,0.1,5.7
1153317,2,mandatory,0.1,5.6
1153318,1,mandatory,0.1,5.7
1153318,2,mandatory,0.1,5.6
1153319,1,mandatory,0.1,5.6
1153319,2,mandatory,0.1,5.6
1153696,1,mandatory,0.1,5.7
1153696,2,mandatory,0.1,5.6
1153697,1,mandatory,0.1,5.6
1153697,2,mandatory,0.1,5.7
1153698,1,mandatory,0.1,5.6
1153698,2,mandatory,0.1,5.6
1153843,1,mandatory,0.1,5.7
1153843,2,mandatory,0.1,5.7
1157372,1,mandatory,0.1,5.6
1157372,2,mandatory,0.1,5.6
1157373,1,mandatory,0.1,5.8
1157373,2,mandatory,0.1,5.6
1157374,1,mandatory,0.1,5.6
1157374,2,mandatory,0.1,5.6
1157375,1,mandatory,0.1,5.6
1157375,2,mandatory,0.1,5.6
1157376,1,mandatory,0.1,5.6
1157376,2,mandatory,0.1,5.6
1157377,1,mandatory,0.1,5.6
1157377,2,mandatory,0.1,5.6
1157759,1,mandatory,0.1,5.6
1157759,2,mandatory,0.1,5.7
1157760,1,mandatory,0.1,5.7
1157760,2,mandatory,0.1,5.6
1157761,1,mandatory,0.1,5.6
1157761,2,mandatory,0.1,5.7
1158071,1,mandatory,0.1,5.6
1158071,2,mandatory,0.1,5.8
1158072,1,mandatory,0.1,5.6
1158072,2,mandatory,0.1,5.6
1158073,1,mandatory,0.1,5.6
1158073,2,mandatory,0.1,5.6
1162727,1,mandatory,0.1,5.6
1162727,2,mandatory,0.1,5.6
1168247,1,mandatory,0.1,5.6
1168247,2,mandatory,0.1,5.6
1168248,1,mandatory,0.1,5.6
1168248,2,mandatory,0.1,5.6
1168521,1,mandatory,0.1,4.6
1168521,2,mandatory,0.1,3.6
1168522,1,mandatory,0.1,5.6
1168522,2,mandatory,0.1,5.6
1170457,1,mandatory,0.1,5.6
1170457,2,mandatory,0.1,5.6
1170458,1,mandatory,0.1,5.6
1170458,2,mandatory,0.1,5.7
1170459,1,mandatory,0.1,2.6
1170459,2,mandatory,0.1,2.6
1172505,1,mandatory,0.1,5.6
1172505,2,mandatory,0.1,5.6
1172506,1,mandatory,0.1,5.6
1172506,2,mandatory,0.1,5.7
1172507,1,mandatory,0.1,5.6
1172507,2,mandatory,0.1,5.6
1172508,1,mandatory,0.1,5.6
1172508,2,mandatory,0.1,5.6
1172509,1,mandatory,0.1,5.9
1172509,2,mandatory,0.1,5.6
1172510,1,mandatory,0.1,5.6
1172510,2,mandatory,0.1,5.6
1176792,1,mandatory,0.1,5.6
1176792,2,mandatory,0.1,5.6
1176793,1,mandatory,0.1,5.7
1176793,2,mandatory,0.1,5.6
1176794,1,mandatory,0.1,5.6
1176794,2,mandatory,0.1,5.6
1176795,1,mandatory,0.1,5.6
1176795,2,mandatory,0.1,1.6
1176796,1,mandatory,0.1,1.6
1176796,2,mandatory,0.1,1.6
1176797,1,mandatory,0.1,3.6
1176797,2,mandatory,0.1,2.6
1177484,1,mandatory,0.1,4.6
1177484,2,mandatory,0.1,3.3
1177485,1,mandatory,0.1,5.6
1177485,2,mandatory,0.1,5.6
1178996,1,mandatory,0.1,5.6
1178996,2,mandatory,0.1,5.6
1183524,1,mandatory,0.1,5.6
1183524,2,mandatory,0.1,5.6
1183525,1,mandatory,0.1,5.6
1183525,2,mandatory,0.1,5.7
1183526,1,mandatory,0.1,5.6
1183526,2,mandatory,0.1,5.7
1183527,1,mandatory,0.1,5.6
1183527,2,mandatory,0.1,3.1
1183528,1,mandatory,0.1,5.6
1183528,2,mandatory,0.1,5.6
1183529,1,mandatory,0.1,5.6
1183529,2,mandatory,0.1,5.7
1184258,1,mandatory,0.1,5.6
1184258,2,mandatory,0.1,5.6
1184260,1,mandatory,0.1,5.6
1184260,2,mandatory,0.1,5.7
1184261,1,mandatory,0.1,5.7
1184261,2,mandatory,0.1,5.6
1184262,1,mandatory,0.1,5.6
1184262,2,mandatory,0.1,5.6
1184263,1,mandatory,0.1,5.6
1184263,2,mandatory,0.1,5.7
1184266,1,mandatory,0.1,5.6
1184266,2,mandatory,0.1,5.6
1184900,1,mandatory,0.1,5.6
1184900,2,mandatory,0.1,5.6
1184901,1,mandatory,0.1,5.6
1184901,2,mandatory,0.1,3.5
1184902,1,mandatory,0.1,5.6
1184902,2,mandatory,0.1,5.6
1185181,1,mandatory,0.1,5.6
1185181,2,mandatory,0.1,5.6
1185182,1,mandatory,0.1,5.6
1185182,2,mandatory,0.1,5.6
1185184,1,mandatory,0.1,5.6
1185184,2,mandatory,0.1,5.6
1185185,1,mandatory,0.1,5.6
1185185,2,mandatory,0.1,5.6
1185186,1,mandatory,0.1,5.6
1185186,2,mandatory,0.1,5.6
1185187,1,mandatory,0.1,5.6
1185188,1,mandatory,0.1,5.6
1185188,2,mandatory,0.1,5.6
1185190,1,mandatory,0.1,5.6
1185190,2,mandatory,0.1,5.6
1185191,1,mandatory,0.1,4.6
1185191,2,mandatory,0.1,4.6
1185192,1,mandatory,0.1,5.6
1185192,2,mandatory,0.1,5.6
1185193,1,mandatory,0.1,5.7
1185193,2,mandatory,0.1,5.6
1185313,1,mandatory,0.1,5.6
1185313,2,mandatory,0.1,5.6
1185314,1,mandatory,0.1,5.6
1185314,2,mandatory,0.1,5.6
1185315,1,mandatory,0.1,5.6
1185315,2,mandatory,0.1,5.6
1185316,1,mandatory,0.1,5.6
1185316,2,mandatory,0.1,5.6
1185317,1,mandatory,0.1,5.6
1185317,2,mandatory,0.1,5.6
1185318,1,mandatory,0.1,5.7
1185318,2,mandatory,0.1,5.6
1186488,1,mandatory,0.1,5.6
1186488,2,mandatory,0.1,5.6
1186490,1,mandatory,0.1,5.6
1186490,2,mandatory,0.1,5.6
1186491,1,mandatory,0.1,5.6
1186491,2,mandatory,0.1,5.7
1186492,1,mandatory,0.1,5.6
1186493,1,mandatory,0.1,5.6
1186493,2,mandatory,0.1,5.6
1187005,1,mandatory,0.1,5.6
1187005,2,mandatory,0.1,5.7
1187006,1,mandatory,0.1,5.6
1187006,2,mandatory,0.1,5.7
1187013,1,mandatory,0.1,5.6
1187013,2,mandatory,0.1,5.6
1187014,1,mandatory,0.1,5.7
1187014,2,mandatory,0.1,5.6
1187015,1,mandatory,0.1,5.6
1187015,2,mandatory,0.1,5.6
1187018,1,mandatory,0.1,5.6
1187018,2,mandatory,0.1,5.6
1187019,1,mandatory,0.1,5.6
1187019,2,mandatory,0.1,5.7
1187020,1,mandatory,0.1,5.6
1187020,2,mandatory,0.1,5.6
1187665,1,mandatory,0.1,5.6
1187665,2,mandatory,0.1,5.6
1187666,1,mandatory,0.1,5.6
1187666,2,mandatory,0.1,5.6
1187667,1,mandatory,0.1,5.6
1187667,2,mandatory,0.1,5.6
1187668,1,mandatory,0.1,5.6
1187668,2,mandatory,0.1,5.7
1187669,1,mandatory,0.1,2.6
1187669,2,mandatory,0.1,2.7
1187677,1,mandatory,0.1,5.8
1187677,2,mandatory,0.1,5.6
1187678,1,mandatory,0.1,5.6
1187678,2,mandatory,0.1,5.6
1187679,1,mandatory,0.1,5.6
1187679,2,mandatory,0.1,5.6
1187680,1,mandatory,0.1,5.6
1187680,2,mandatory,0.1,5.7
1187681,1,mandatory,0.1,5.6
1187681,2,mandatory,0.1,5.6
1188379,1,mandatory,0.1,5.6
1188379,2,mandatory,0.1,5.6
1188380,1,mandatory,0.1,5.6
1188380,2,mandatory,0.1,5.6
1188621,1,mandatory,0.1,5.6
1188621,2,mandatory,0.1,5.6
1188622,1,mandatory,0.1,5.6
1188622,2,mandatory,0.1,5.6
1188623,1,mandatory,0.1,5.6
1188623,2,mandatory,0.1,5.6
1189743,1,mandatory,0.1,5.6
1189743,2,mandatory,0.1,5.7
1189744,1,mandatory,0.1,5.7
1189744,2,mandatory,0.1,5.6
1190767,1,mandatory,0.1,5.6
1190767,2,mandatory,0.1,5.7
1190768,1,mandatory,0.1,5.6
1190768,2,mandatory,0.1,5.6
1190769,1,mandatory,0.1,5.6
1190769,2,mandatory,0.1,5.6
1190771,1,mandatory,0.1,2.6
1190771,2,mandatory,0.1,2.7
1190772,1,mandatory,0.1,5.6
1190772,2,mandatory,0.1,5.6
1190773,1,mandatory,0.1,5.7
1190773,2,mandatory,0.1,5.6
1190774,1,mandatory,0.1,5.6
1190774,2,mandatory,0.1,5.6
1190775,1,mandatory,0.1,5.6
1190775,2,mandatory,0.1,5.6
1190776,1,mandatory,0.1,5.6
1190776,2,mandatory,0.1,5.6
1191006,1,mandatory,0.1,5.6
1191006,2,mandatory,0.1,5.6
1191008,1,mandatory,0.1,5.7
1191008,2,mandatory,0.1,5.7
1192223,1,mandatory,0.1,5.6
1192223,2,mandatory,0.1,5.6
1192224,1,mandatory,0.1,5.6
1192224,2,mandatory,0.1,5.6
1192875,1,mandatory,0.1,5.6
1192875,2,mandatory,0.1,5.7
1192876,1,mandatory,0.1,5.6
1192876,2,mandatory,0.1,5.6
1192877,1,mandatory,0.1,5.6
1192877,2,mandatory,0.1,5.6
1197140,1,mandatory,0.1,4.6
1197140,2,mandatory,0.1,4.6
1197143,1,mandatory,0.1,5.6
1197143,2,mandatory,0.1,5.7
1197396,1,mandatory,0.1,5.6
1197396,2,mandatory,0.1,5.6
1197397,1,mandatory,0.1,5.8
1197397,2,mandatory,0.1,5.6
1197398,1,mandatory,0.1,5.6
1197398,2,mandatory,0.1,3.6
1197399,1,mandatory,0.1,5.7
1197399,2,mandatory,0.1,5.6
1197400,1,mandatory,0.1,5.6
1197400,2,mandatory,0.1,5.7
1197401,1,mandatory,0.1,5.6
1197401,2,mandatory,0.1,5.6
1197402,1,mandatory,0.1,5.7
1197402,2,mandatory,0.1,5.7
1197403,1,mandatory,0.1,5.6
1197403,2,mandatory,0.1,5.6
1197404,1,mandatory,0.1,5.6
1197404,2,mandatory,0.1,5.6
1197406,1,mandatory,0.1,5.6
1197406,2,mandatory,0.1,5.6
1197407,1,mandatory,0.1,5.6
1197407,2,mandatory,0.1,5.6
1197507,1,mandatory,0.1,5.6
1197507,2,mandatory,0.1,5.6
1197508,1,mandatory,0.1,5.7
1197508,2,mandatory,0.1,5.6
1197509,1,mandatory,0.1,5.6
1197509,2,mandatory,0.1,5.6
1197510,1,mandatory,0.1,5.6
1197510,2,mandatory,0.1,5.7
1197521,1,mandatory,0.1,5.6
1197521,2,mandatory,0.1,5.6
1197522,1,mandatory,0.1,5.6
1197522,2,mandatory,0.1,5.6
1197523,1,mandatory,0.1,5.6
1197523,2,mandatory,0.1,5.8
1197524,1,mandatory,0.1,5.6
1197524,2,mandatory,0.1,5.6
1197525,1,mandatory,0.1,5.6
1197525,2,mandatory,0.1,5.6
1197526,1,mandatory,0.1,5.6
1197526,2,mandatory,0.1,5.6
1197527,1,mandatory,0.1,5.6
1197527,2,mandatory,0.1,5.6
1197528,1,mandatory,0.1,5.6
1197528,2,mandatory,0.1,5.6
1197529,1,mandatory,0.1,5.6
1197529,2,mandatory,0.1,5.6
1198235,1,mandatory,0.1,5.6
1198235,2,mandatory,0.1,5.6
1198236,1,mandatory,0.1,5.6
1198236,2,mandatory,0.1,5.7
1198237,1,mandatory,0.1,5.7
1198237,2,mandatory,0.1,5.6
1198244,1,mandatory,0.1,5.6
1198245,1,mandatory,0.1,5.6
1198245,2,mandatory,0.1,5.6
1198246,1,mandatory,0.1,5.6
1198246,2,mandatory,0.1,5.7
1198489,1,mandatory,0.1,5.6
1198489,2,mandatory,0.1,5.6
1198490,1,mandatory,0.1,5.6
1198490,2,mandatory,0.1,5.6
1198491,1,mandatory,0.1,5.6
1198491,2,mandatory,0.1,5.6
1199499,1,mandatory,0.1,5.7
1199499,2,mandatory,0.1,5.6
1199500,1,mandatory,0.1,5.6
1199500,2,mandatory,0.1,5.6
1199501,1,mandatory,0.1,5.6
1199501,2,mandatory,0.1,5.6
1199502,1,mandatory,0.1,5.6
1199502,2,mandatory,0.1,5.6
1199503,1,mandatory,0.1,5.6
1199503,2,mandatory,0.1,5.6
1199504,1,mandatory,0.1,5.6
1199504,2,mandatory,0.1,5.6
1199505,1,mandatory,0.1,5.6
1199505,2,mandatory,0.1,5.6
1199506,1,mandatory,0.1,5.6
1199506,2,mandatory,0.1,5.7
1199507,1,mandatory,0.1,5.6
