match_id,team
1150553,Australia
1150553,West Indies
1150554,India
1150554,England
1150555,England
1150555,Australia
1152840,England
1152840,Pakistan
1153317,Bangladesh
1153317,West Indies
1153318,Bangladesh
1153318,West Indies
1153319,Bangladesh
1153319,West Indies
1153696,New Zealand
1153696,India
1153697,New Zealand
1153697,India
1153698,New Zealand
1153698,India
1153843,New Zealand
1153843,Sri Lanka
1153858,New Zealand
1153858,India
1153859,New Zealand
1153859,India
1153860,New Zealand
1153860,India
1156216,South Africa
1156216,West Indies
1156218,West Indies
1156218,South Africa
1156219,West Indies
1156219,South Africa
1157372,Pakistan
1157372,Australia
1157373,Pakistan
1157373,Australia
1157374,Pakistan
1157374,Australia
1157375,Pakistan
1157375,New Zealand
1157376,New Zealand
1157376,Pakistan
1157377,Pakistan
1157377,New Zealand
1157710,Sri Lanka
1157710,India
1157711,Sri Lanka
1157711,India
1157712,Sri Lanka
1157712,India
1157713,India
1157713,Sri Lanka
1157759,West Indies
1157759,India
1157760,India
1157760,West Indies
1157761,West Indies
1157761,India
1158071,West Indies
1158071,England
1158072,West Indies
1158072,England
1158073,West Indies
1158073,England
1158344,Botswana
1158344,Lesotho
1158345,Malawi
1158345,Namibia
1158348,Sierra Leone
1158348,Namibia
1158349,Mozambique
1158349,Lesotho
1158350,Mozambique
1158350,Botswana
1158352,Botswana
1158352,Sierra Leone
1158353,Mozambique
1158353,Namibia
1158354,Namibia
1158354,Lesotho
1158355,Sierra Leone
1158355,Malawi
1158356,Sierra Leone
1158356,Lesotho
1158358,Botswana
1158358,Namibia
1158359,Lesotho
1158359,Malawi
1158361,Sierra Leone
1158361,Namibia
1161231,Australia
1161231,Pakistan
1161232,Pakistan
1161232,Australia
1161233,Pakistan
1161233,Australia
1162727,United Arab Emirates
1162727,Australia
1168020,England
1168020,West Indies
1168026,England
1168026,Australia
1168027,England
1168027,Australia
1168028,England
1168028,Australia
1168160,South Africa
1168160,Sri Lanka
1168162,South Africa
1168162,Sri Lanka
1168247,India
1168247,Australia
1168248,India
1168248,Australia
1168521,Ireland
1168521,Zimbabwe
1168522,Ireland
1168522,Zimbabwe
1170457,United Arab Emirates
1170457,Nepal
1170458,United Arab Emirates
1170458,Nepal
1170459,United Arab Emirates
1170459,Nepal
1172163,India
1172163,England
1172164,India
1172164,England
1172165,India
1172165,England
1172469,Pakistan
1172469,West Indies
1172470,Pakistan
1172470,West Indies
1172471,Pakistan
1172471,West Indies
1172505,Netherlands
1172505,Scotland
1172506,Oman
1172506,Ireland
1172507,Oman
1172507,Netherlands
1172508,Ireland
1172508,Scotland
1172509,Ireland
1172509,Netherlands
1172510,Oman
1172510,Scotland
1172910,Thailand
1172910,China
1172911,Kuwait
1172911,Malaysia
1172912,Hong Kong
1172912,United Arab Emirates
1172913,Malaysia
1172913,Nepal
1172914,China
1172914,Hong Kong
1172915,Kuwait
1172915,United Arab Emirates
1172916,Malaysia
1172916,United Arab Emirates
1172917,Thailand
1172917,Nepal
1172918,China
1172918,Kuwait
1172919,Nepal
1172919,United Arab Emirates
1172920,Thailand
1172920,Hong Kong
1172921,China
1172921,Malaysia
1172922,China
1172922,United Arab Emirates
1172923,Thailand
1172923,Kuwait
1172924,Hong Kong
1172924,Nepal
1172925,Thailand
1172925,Malaysia
1172926,China
1172926,Nepal
1172927,Hong Kong
1172927,Kuwait
1172929,Kuwait
1172929,Nepal
1172930,Thailand
1172930,United Arab Emirates
1173048,Australia
1173048,India
1173049,Thailand
1173049,West Indies
1173050,New Zealand
1173050,Sri Lanka
1173051,England
1173051,South Africa
1173052,Australia
1173052,Sri Lanka
1173053,Bangladesh
1173053,India
1173054,England
1173054,Thailand
1173055,Pakistan
1173055,West Indies
1173056,India
1173056,New Zealand
1173057,Australia
1173057,Bangladesh
1173058,South Africa
1173058,Thailand
1173059,England
1173059,Pakistan
1173060,Bangladesh
1173060,New Zealand
1173061,India
1173061,Sri Lanka
1173062,Pakistan
1173062,South Africa
1173063,England
1173063,West Indies
1173064,Bangladesh
1173064,Sri Lanka
1173065,Australia
1173065,New Zealand
1173066,Pakistan
1173066,Thailand
1173069,Australia
1173069,South Africa
1173070,Australia
1173070,India
1176435,Sri Lanka
1176435,England
1176436,Sri Lanka
1176436,England
1176437,Sri Lanka
1176437,England
1176792,Papua New Guinea
1176792,Philippines
1176793,Papua New Guinea
1176793,Vanuatu
1176794,Philippines
1176794,Vanuatu
1176795,Papua New Guinea
1176795,Philippines
1176796,Philippines
1176796,Vanuatu
1176797,Papua New Guinea
1176797,Vanuatu
1177018,South Africa
1177018,Pakistan
1177019,South Africa
1177019,Pakistan
1177020,South Africa
1177020,Pakistan
1177021,South Africa
1177021,Pakistan
1177022,South Africa
1177022,Pakistan
1177484,United Arab Emirates
1177484,United States of America
1177485,United Arab Emirates
1177485,United States of America
1178996,Germany
1178996,Italy
1179016,Namibia
1179016,Botswana
1179017,Namibia
1179017,Botswana
1179018,Namibia
1179018,Botswana
1179610,Namibia
1179610,Botswana
1179611,Namibia
1179611,Botswana
1182642,Zimbabwe
1182642,Mozambique
1182644,Sierra Leone
1182644,Uganda
1182646,Mozambique
1182646,Nigeria
1182648,Namibia
1182648,Uganda
1182649,Zimbabwe
1182649,Tanzania
1182650,Mozambique
1182650,Rwanda
1182652,Kenya
1182652,Uganda
1182653,Namibia
1182653,Sierra Leone
1182654,Zimbabwe
1182654,Rwanda
1182656,Zimbabwe
1182656,Nigeria
1182657,Rwanda
1182657,Tanzania
1182658,Zimbabwe
1182658,Namibia
1182904,Vanuatu
1182904,Papua New Guinea
1182905,Indonesia
1182905,Japan
1182906,Indonesia
1182906,Papua New Guinea
1182909,Fiji
1182909,Papua New Guinea
1182912,Vanuatu
1182912,Samoa
1182913,Fiji
1182913,Japan
1182914,Japan
1182914,Papua New Guinea
1182916,Fiji
