match_id,player
1268747,AM Healey
1268748,A Doddaballapur
1268749,JE Ronalds
1268759,GH Lewis
1270834,Nasum Ahmed
1270835,Afif Hossain
1270836,Mahmudullah
1270837,MJ Swepson
1270838,Shakib Al Hasan
1271445,Ghulam Ahmadi
1271446,S Santhirakumaran
1271447,H Singh
1271448,VB Chikkannaiah
1271449,Sher Sahak
1271450,Wahidullah Sahak
1271451,Sahir Naqash
1271630,AK Markram
1271631,T Shamsi
1271632,Q de Kock
1272093,Shakib Al Hasan
1272094,Mahmudullah
1272095,AY Patel
1272096,Nasum Ahmed
1272097,TWM Latham
1272373,RW Chakabva
1272374,KJ O'Brien
1272375,PR Stirling
1272376,MR Adair
1272377,CR Ervine
1273133,HAM Shah
1273134,T Bharaj
1273136,Washeem Abbas
1273138,VP Thamotharam
1273139,Azhar Andani
1273143,Z Bimenyimana
1273144,R Bakum
1273145,Amoluk Singh
1273712,Zeeshan Maqsood
1273713,CN Greaves
1273714,C Campher
1273715,M Theekshana
1273716,RD Berrington
1273717,Shakib Al Hasan
1273718,D Wiese
1273719,PWH de Silva
1273720,Shakib Al Hasan
1273721,JH Davey
1273722,D Wiese
1273723,CBRLS Kumara
1273724,JR Hazlewood
1273725,MM Ali
1273726,KIC Asalanka
1273727,Shaheen Shah Afridi
1273729,A Nortje
1273730,Haris Rauf
1273731,JJ Roy
1273732,R Trumpelmann
1273733,A Zampa
1273734,N Pooran
1273736,T Shamsi
1273737,CJ Jordan
1273739,IS Sodhi
1273740,JC Buttler
1273741,K Rabada
1273742,Mohammad Rizwan
1273743,MJ Guptill
1273745,A Zampa
1273746,KIC Asalanka
1273747,JDS Neesham
1273748,RA Jadeja
1273749,DA Warner
1273750,HE van der Dussen
1273752,Shoaib Malik
1273753,RA Jadeja
1273754,DJ Mitchell
1273755,MS Wade
1273756,MR Marsh
1274595,SJ Bryce
1274596,GH Lewis
1274597,F Overdijk
1274600,B Maes Loch
1274601,KE Bryce
1274602,B de Leede
